slug,topic,title,url,source,difficulty,bucket,tracks,tags,styles,prerequisites,why_fit
advanced/algorithm-engineering,Advanced -> Algorithm Engineering,Robot Path,https://cses.fi/problemset/task/1742,CSES,medium,core,,Hashing | Simulation | Sets,Implementation,Hash Set | Coordinate Simulation,A small but instructive exercise in robust simulation and state tracking.
advanced/algorithm-engineering,Advanced -> Algorithm Engineering,Dynamic Values And Maximum Sum,https://codeforces.com/problemset/problem/2209/F,Codeforces,very-hard,core,,Tree Process | State Transitions,,,"Performance-sensitive tree optimization with many moving parts, ideal for engineering-heavy practice."
advanced/algorithm-engineering,Advanced -> Algorithm Engineering,Juan's Colorful Tree,https://codeforces.com/problemset/problem/2155/F,Codeforces,very-hard,core,,Tree Queries | Set Intersections | Hybrid Techniques,,,Shows how serious contest solutions often combine several techniques to meet practical limits.
advanced/algorithm-engineering,Advanced -> Algorithm Engineering,Minimum Difference,https://codeforces.com/problemset/problem/1476/G,Codeforces,very-hard,core,,Data Structures | Query Optimization | Implementation Detail,,,A good benchmark for fast query processing where constants and representation choices matter.
advanced/algorithm-engineering,Advanced -> Algorithm Engineering,Query Jungle,https://codeforces.com/problemset/problem/2152/G,Codeforces,very-hard,core,,Tree Queries | Toggle Updates | Global State Maintenance,,,Strong example of designing around query/update bottlenecks rather than just the high-level idea.
advanced/algorithm-engineering,Advanced -> Algorithm Engineering,Area of Rectangles,https://cses.fi/problemset/task/1741,CSES,hard,challenge,,Coordinate Compression | Sweep Line | Interval Coverage,Engineering | Event Processing,Compression | Segment Tree Or Fenwick,"Great for practicing fast, memory-conscious sweep-line implementation."
advanced/algorithm-engineering,Advanced -> Algorithm Engineering,Lines and Queries I,https://cses.fi/problemset/task/3429,CSES,hard,challenge,,Convex Hull Trick | Data Structures,Online | Optimized Query Processing,Line Evaluation | Convex Hull Trick,Rewards clean data-structure engineering and careful constant-factor control.
advanced/algorithm-engineering,Advanced -> Algorithm Engineering,Minimum Euclidean Distance,https://cses.fi/problemset/task/2194,CSES,hard,challenge,,Implementation | Sweep Line | Closest Pair,Performance Tuning | Geometric Data Structures,Sorting | Balanced Search,A classic example where asymptotics are simple but implementation details matter.
advanced/approximation-and-relaxation,Advanced -> Approximation And Relaxation,Problem Set 1,https://www.cs.dartmouth.edu/~deepc/Courses/S15/Problems/prob1.pdf,Dartmouth EO249,theory,core,Approximation Algorithms,TSP | Cycle Cover | Euler Tour,,,Great starter set for approximation constructions around TSP-style problems.
advanced/approximation-and-relaxation,Advanced -> Approximation And Relaxation,Problem Set 2,https://www.cs.dartmouth.edu/~deepc/Courses/S15/Problems/prob2.pdf,Dartmouth EO249,theory,core,Approximation Algorithms,Set Cover | Submodular | Greedy Approximation,,,Covers several core greedy-approximation paradigms in one assignment.
